Hidden Units,Seed,Best Epoch,Training Error,Validation Error,Validation Accuracy,Macro F1,Balanced Accuracy
64,42,103,0.054396843291995456,0.10710257291793823,0.8928974069898534,0.8670454465238704,0.866652685994704
64,123,98,0.05806087936865845,0.10710257291793823,0.8928974069898534,0.8698791267825254,0.8698899340523553
64,456,83,0.0656708004509583,0.10372042655944824,0.8962795941375423,0.8660424987154242,0.8621177876725556
128,42,63,0.05580608793686581,0.10372042655944824,0.8962795941375423,0.871866505150844,0.8703573485822699
128,123,79,0.04847801578354005,0.09808343648910522,0.9019165727170236,0.8805464998506389,0.8799792210290499
128,456,63,0.06003382187147688,0.09808343648910522,0.9019165727170236,0.875796477929959,0.8699720615256966
256,42,46,0.05665163472378809,0.09582865238189697,0.9041713641488163,0.8787586657657663,0.8757781902282691
256,123,48,0.05552423900789172,0.10146564245223999,0.8985343855693348,0.8731815534801778,0.8722318253836839
256,456,50,0.05270574971815112,0.09695601463317871,0.90304396843292,0.8819203047381866,0.8804193510253034
