Stage,Classes,Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
1,2,0,0.0,0.0,1.0,1.0
2,3,0,0.03618421052631582,0.04606527090072632,0.963358147229115,0.9622703682346158
3,4,0,0.03749330476700585,0.041249990463256836,0.9640060656189688,0.9631241287818729
4,5,0,0.03299049097613038,0.04166668653488159,0.9607092933388515,0.9598638891138347
5,6,0,0.04929979994284084,0.05203467607498169,0.9511805407187687,0.9498131715986778
6,7,0,0.07447257383966244,0.07877892255783081,0.9313048400313281,0.9309760766825362
