Method,Accuracy,Accuracy SD,Classification Error,Macro F1,Balanced Accuracy
Conventional NN,0.7511415525114155,0.008618532460354772,0.24885844748858446,0.7617174877927834,0.7516406935475998
Incremental Class Learning,0.7374429223744291,0.015442636139804441,0.2625570776255708,0.7502284397626323,0.7393046122678446
