Method,Accuracy Mean,Accuracy Std,Macro F1 Mean,Balanced Accuracy Mean
Conventional NN,0.922244094488189,0.0013020429680435954,0.9358420340049003,0.9361566183297931
Incremental Class Learning,0.9214238845144358,0.0005682581389661661,0.9348125575133088,0.9346577050182262
