Method,Accuracy,Accuracy SD,Classification Error,Macro F1,Balanced Accuracy
Conventional NN,0.9023333333333333,0.003055050463303896,0.09766666666666664,0.8887909792222635,0.8870432786380708
Incremental Class Learning,0.8773333333333334,0.003055050463303896,0.12266666666666666,0.8599004764174857,0.8563602589178316
