Seed,Best Epoch,Test Accuracy,Test Error,Macro F1,Balanced Accuracy
42,46,0.903,0.09699999999999998,0.8879424362582554,0.8855496052291798
123,48,0.905,0.09499999999999997,0.8910643653594388,0.8900736878346165
456,50,0.899,0.10099999999999998,0.8873661360490961,0.885506542850416
