Method,Accuracy,Classification Error,Macro F1,Balanced Accuracy
Conventional NN,0.75,0.25,0.7631,0.7492
Incremental Class Learning,0.773972602739726,0.226027397260274,0.7590539597174268,0.7651422647806259
