Hidden Units,Seed,Best Epoch,Training Error,Validation Error,Validation Accuracy,Macro F1,Balanced Accuracy
128,42,49,0.1656848306332842,0.2508590817451477,0.7491408934707904,0.780532413534854,0.7541249955396666
128,123,31,0.19734904270986742,0.25773197412490845,0.7422680412371134,0.7728832464771992,0.7530309047794294
128,456,47,0.1782032400589102,0.22336769104003906,0.7766323024054983,0.8020688299499621,0.7774979978645297
256,42,30,0.17599410898379975,0.24398624897003174,0.7560137457044673,0.7857725961091445,0.7568717480474296
256,123,25,0.19072164948453607,0.2474226951599121,0.7525773195876289,0.7831518308329496,0.7654997537051383
256,456,40,0.16273932253313694,0.24054980278015137,0.7594501718213058,0.7859558723216373,0.7588612362291824
512,42,29,0.16200294550810013,0.23711341619491577,0.7628865979381443,0.7938768028499812,0.7652050813807632
512,123,32,0.14948453608247425,0.23711341619491577,0.7628865979381443,0.7954530065301066,0.7744792758656583
512,456,18,0.18851251840942562,0.24398624897003174,0.7560137457044673,0.7883459599484175,0.7679628078923304
