Stage,Classes,Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
1,2,0,0.0,0.0,1.0,1.0
2,3,0,0.03618421052631582,0.04606527090072632,0.963358147229115,0.9622703682346158
3,4,0,0.03776111408677019,0.04250001907348633,0.9630786236546471,0.9622280714342026
4,5,0,0.0327964292645061,0.04166668653488159,0.9607092933388515,0.9598638891138347
5,6,0,0.049442697913689604,0.05136758089065552,0.951695255399991,0.9504105431637915
6,7,0,0.07521097046413505,0.07927131652832031,0.9309784763033845,0.9306144130297334
