Seed,Best Epoch,Test Accuracy,Test Error,Macro F1,Balanced Accuracy
42,29,0.75,0.25,0.7631132108422252,0.7492346733898412
123,32,0.7602739726027398,0.23972602739726023,0.7655183269319751,0.7620640678302371
456,18,0.7431506849315068,0.2568493150684932,0.7565209256041499,0.7436233394227209
