,precision,recall,f1-score,support
1,0.9828326180257511,0.9934924078091106,0.9881337648327939,461.0
2,0.9690265486725663,0.9776785714285714,0.9733333333333334,224.0
3,0.8888888888888888,0.947103274559194,0.9170731707317074,397.0
4,0.76,0.6303317535545023,0.689119170984456,211.0
5,0.891213389121339,0.8987341772151899,0.8949579831932774,237.0
7,0.8641188959660298,0.8659574468085106,0.8650371944739639,470.0
accuracy,0.903,0.903,0.903,0.903
macro avg,0.8926800567790959,0.8855496052291798,0.8879424362582554,2000.0
weighted avg,0.9003750635136032,0.903,0.9008555247661811,2000.0
