Stage,Classes,Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
1,2,0,0.0,0.0,1.0,1.0
2,3,0,0.034950657894736836,0.04606527090072632,0.963358147229115,0.9622703682346158
3,4,0,0.03722549544724152,0.041249990463256836,0.9640060656189688,0.9631241287818729
4,5,0,0.03337861439937895,0.04166668653488159,0.9607092933388515,0.9598638891138347
5,6,0,0.04915690197199196,0.05270183086395264,0.9506651807693186,0.9492158000335644
6,7,0,0.07489451476793252,0.07877892255783081,0.93165043984871,0.9313322881194678
