Dataset,Method,Accuracy,Accuracy SD,Classification Error,Macro F1,Balanced Accuracy
Dry Bean,Conventional NN,0.922244094488189,0.0013020429680435954,0.077755905511811,0.9358420340049003,0.9361566183297931
Dry Bean,Incremental Class Learning,0.9214238845144358,0.0005682581389661661,0.07857611548556427,0.9348125575133088,0.9346577050182262
Steel Plates Faults,Conventional NN,0.7511415525114155,0.008618532460354772,0.24885844748858446,0.7617174877927834,0.7516406935475998
Steel Plates Faults,Incremental Class Learning,0.7374429223744291,0.015442636139804441,0.2625570776255708,0.7502284397626323,0.7393046122678446
Landsat,Conventional NN,0.9023333333333333,0.003055050463303896,0.09766666666666664,0.8887909792222635,0.8870432786380708
Landsat,Incremental Class Learning,0.8773333333333334,0.003055050463303896,0.12266666666666666,0.8599004764174857,0.8563602589178316
